Name: Parzivalstraße, Instruction: Head east on Parzivalstraße, Distance: 133.1 meters, Time: 95.8 seconds
Name: -, Instruction: Turn left, Distance: 312.0 meters, Time: 224.6 seconds
Name: -, Instruction: Turn left, Distance: 362.8 meters, Time: 261.2 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: Klopstockstraße, Instruction: Continue straight onto Klopstockstraße, Distance: 126.6 meters, Time: 91.2 seconds
Name: -, Instruction: Turn slight right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Continue straight, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Continue straight, Distance: 114.0 meters, Time: 82.1 seconds
Name: Freiligrathstraße, Instruction: Turn sharp right onto Freiligrathstraße, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Arrive at Freiligrathstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
