Name: Lorong 104 Changi, Instruction: Head north on Lorong 104 Changi, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 281.4 meters, Time: 202.6 seconds
Name: -, Instruction: Turn right, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 210.6 meters, Time: 151.7 seconds
Name: Sims Avenue Park Connector, Instruction: Turn left onto Sims Avenue Park Connector, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 230.3 meters, Time: 165.8 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: Jalan Eunos, Instruction: Turn left onto Jalan Eunos, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 433.0 meters, Time: 311.8 seconds
Name: -, Instruction: Turn right, Distance: 261.0 meters, Time: 187.9 seconds
Name: -, Instruction: Turn right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn right, Distance: 173.2 meters, Time: 124.7 seconds
Name: -, Instruction: Turn slight right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
