Name: Calzada de Guadalupe, Instruction: Head southeast on Calzada de Guadalupe, Distance: 46.3 meters, Time: 33.3 seconds
Name: Calzada Acoxpa, Instruction: Turn left onto Calzada Acoxpa, Distance: 434.3 meters, Time: 312.7 seconds
Name: -, Instruction: Turn left, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.8 meters, Time: 28.7 seconds
Name: Calzada Acoxpa, Instruction: Turn left onto Calzada Acoxpa, Distance: 56.3 meters, Time: 40.5 seconds
Name: Calle La Acequia, Instruction: Turn right onto Calle La Acequia, Distance: 21.4 meters, Time: 15.4 seconds
Name: Calzada Acoxpa, Instruction: Turn left onto Calzada Acoxpa, Distance: 38.2 meters, Time: 27.5 seconds
Name: Andador 1, Instruction: Turn right onto Andador 1, Distance: 127.8 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: Andador 7, Instruction: Turn right onto Andador 7, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: Andador 9, Instruction: Turn right onto Andador 9, Distance: 26.1 meters, Time: 18.8 seconds
Name: Avenida Altillo, Instruction: Turn right onto Avenida Altillo, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 61.9 meters, Time: 44.6 seconds
Name: Andador 10, Instruction: Turn right onto Andador 10, Distance: 86.9 meters, Time: 62.5 seconds
Name: Avenida Caporal, Instruction: Turn sharp left onto Avenida Caporal, Distance: 15.4 meters, Time: 11.1 seconds
Name: Andador 7, Instruction: Turn sharp right onto Andador 7, Distance: 104.8 meters, Time: 75.4 seconds
Name: Calle El Cántaro, Instruction: Turn left onto Calle El Cántaro, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Continue straight, Distance: 45.5 meters, Time: 32.7 seconds
Name: -, Instruction: Continue straight, Distance: 32.2 meters, Time: 23.2 seconds
Name: Avenida La Carreta, Instruction: Turn left onto Avenida La Carreta, Distance: 20.0 meters, Time: 14.4 seconds
Name: Andador 20, Instruction: Turn right onto Andador 20, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: Avenida El Fortín, Instruction: Turn left onto Avenida El Fortín, Distance: 97.9 meters, Time: 70.5 seconds
Name: Andador 7, Instruction: Turn right onto Andador 7, Distance: 9.3 meters, Time: 6.7 seconds
Name: Avenida El Fortín, Instruction: Turn left onto Avenida El Fortín, Distance: 29.0 meters, Time: 20.9 seconds
Name: Andador 9, Instruction: Turn right onto Andador 9, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: Avenida El Farol, Instruction: Turn left onto Avenida El Farol, Distance: 28.4 meters, Time: 20.4 seconds
Name: Avenida El Farol, Instruction: Keep right onto Avenida El Farol, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: Andador 2, Instruction: Turn left onto Andador 2, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn slight right, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
