Name: Bain Street, Instruction: Head northwest on Bain Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Keep right, Distance: 338.8 meters, Time: 244.0 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn slight left, Distance: 244.2 meters, Time: 175.8 seconds
Name: -, Instruction: Keep left, Distance: 285.5 meters, Time: 205.5 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Keep left, Distance: 56.0 meters, Time: 40.3 seconds
Name: Clarke Quay, Instruction: Turn slight right onto Clarke Quay, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 276.5 meters, Time: 199.1 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 53.1 meters, Time: 38.3 seconds
Name: New Market Road, Instruction: Turn left onto New Market Road, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
