Name: Boulevard Pershing, Instruction: Head northeast on Boulevard Pershing, Distance: 185.3 meters, Time: 133.4 seconds
Name: Place du Général Kœnig, Instruction: Turn right onto Place du Général Kœnig, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn right onto Boulevard Gouvion-Saint-Cyr, Distance: 147.0 meters, Time: 105.8 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn right onto Boulevard Gouvion-Saint-Cyr, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 194.9 meters, Time: 140.3 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Keep right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 236.1 meters, Time: 170.0 seconds
Name: -, Instruction: Turn left, Distance: 132.7 meters, Time: 95.6 seconds
Name: -, Instruction: Turn slight left, Distance: 349.8 meters, Time: 251.9 seconds
Name: -, Instruction: Turn slight right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight left, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.3 seconds
Name: Avenue d'Eylau, Instruction: Turn left onto Avenue d'Eylau, Distance: 6.1 meters, Time: 4.4 seconds
Name: Place du Trocadéro et du 11 Novembre 1918, Instruction: Turn right onto Place du Trocadéro et du 11 Novembre 1918, Distance: 49.3 meters, Time: 35.5 seconds
Name: Avenue Georges Mandel, Instruction: Turn left onto Avenue Georges Mandel, Distance: 8.4 meters, Time: 6.0 seconds
Name: Place du Trocadéro et du 11 Novembre 1918, Instruction: Turn right onto Place du Trocadéro et du 11 Novembre 1918, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Arrive at Place du Trocadéro et du 11 Novembre 1918, on the left, Distance: 0.0 meters, Time: 0.0 seconds
