Name: Mälzereistraße, Instruction: Head northeast on Mälzereistraße, Distance: 36.7 meters, Time: 26.4 seconds
Name: Lochhausener Straße, Instruction: Turn sharp left onto Lochhausener Straße, Distance: 349.7 meters, Time: 251.8 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 250.9 meters, Time: 180.7 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: Freilandstraße, Instruction: Turn slight right onto Freilandstraße, Distance: 486.2 meters, Time: 350.1 seconds
Name: -, Instruction: Turn right, Distance: 292.5 meters, Time: 210.6 seconds
Name: -, Instruction: Turn right, Distance: 181.6 meters, Time: 130.7 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Keep left, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
