Name: Rue Ponscarme, Instruction: Head southwest on Rue Ponscarme, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 293.4 meters, Time: 211.2 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 159.2 meters, Time: 114.6 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 198.3 meters, Time: 142.8 seconds
Name: Passage du Moulinet, Instruction: Turn right onto Passage du Moulinet, Distance: 87.5 meters, Time: 63.0 seconds
Name: Passage du Moulinet, Instruction: Continue straight onto Passage du Moulinet, Distance: 6.3 meters, Time: 4.5 seconds
Name: Rue du Moulinet, Instruction: Turn left onto Rue du Moulinet, Distance: 28.9 meters, Time: 20.8 seconds
Name: Rue du Moulin des Prés, Instruction: Turn right onto Rue du Moulin des Prés, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 74.1 meters, Time: 53.4 seconds
Name: -, Instruction: Turn slight right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Place Paul Verlaine, Instruction: Turn left onto Place Paul Verlaine, Distance: 50.8 meters, Time: 36.6 seconds
Name: Place Paul Verlaine, Instruction: Keep right onto Place Paul Verlaine, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
