Name: Shakespeareplatz, Instruction: Head east on Shakespeareplatz, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep right, Distance: 372.3 meters, Time: 268.1 seconds
Name: -, Instruction: Turn left, Distance: 636.1 meters, Time: 458.0 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 365.0 meters, Time: 262.8 seconds
Name: -, Instruction: Keep right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Einsteinstraße, Instruction: Keep left onto Einsteinstraße, Distance: 27.6 meters, Time: 19.9 seconds
Name: Einsteinstraße, Instruction: Continue straight onto Einsteinstraße, Distance: 22.9 meters, Time: 16.5 seconds
Name: Einsteinstraße, Instruction: Keep right onto Einsteinstraße, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 250.1 meters, Time: 180.1 seconds
Name: -, Instruction: Keep right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
