Name: Ross Crescent, Instruction: Head southeast on Ross Crescent, Distance: 22.3 meters, Time: 16.0 seconds
Name: Taringha Street, Instruction: Turn left onto Taringha Street, Distance: 268.4 meters, Time: 193.2 seconds
Name: Great Blue Mountains Trail, Instruction: Turn right onto Great Blue Mountains Trail, Distance: 240.9 meters, Time: 173.4 seconds
Name: View Street, Instruction: Turn right onto View Street, Distance: 2.3 meters, Time: 1.7 seconds
Name: View Street, Instruction: Keep left onto View Street, Distance: 141.5 meters, Time: 101.9 seconds
Name: View Street, Instruction: Turn slight left onto View Street, Distance: 15.1 meters, Time: 10.9 seconds
Name: Hope Street, Instruction: Turn slight left onto Hope Street, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
