Name: Place de Port-au-Prince, Instruction: Head southeast on Place de Port-au-Prince, Distance: 67.6 meters, Time: 48.7 seconds
Name: Rue Lachelier, Instruction: Continue straight onto Rue Lachelier, Distance: 5.4 meters, Time: 3.9 seconds
Name: Avenue de la Porte de Choisy, Instruction: Turn right onto Avenue de la Porte de Choisy, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 159.7 meters, Time: 115.0 seconds
Name: Boulevard Masséna, Instruction: Turn slight right onto Boulevard Masséna, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 230.6 meters, Time: 166.0 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 541.0 meters, Time: 389.5 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
