Name: Orchard Road, Instruction: Head north on Orchard Road, Distance: 149.1 meters, Time: 107.3 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Keep right, Distance: 463.1 meters, Time: 333.4 seconds
Name: -, Instruction: Turn slight right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: Hercules Street, Instruction: Turn left onto Hercules Street, Distance: 5.6 meters, Time: 4.1 seconds
Name: Johnson Street, Instruction: Enter the roundabout and take the 1st exit onto Johnson Street, Distance: 214.4 meters, Time: 154.4 seconds
Name: Stanley Street, Instruction: Turn left onto Stanley Street, Distance: 248.1 meters, Time: 178.7 seconds
Name: Clanwilliam Street, Instruction: Turn right onto Clanwilliam Street, Distance: 462.1 meters, Time: 332.7 seconds
Name: Penshurst Street, Instruction: Turn sharp left onto Penshurst Street, Distance: 18.5 meters, Time: 13.3 seconds
Name: Horsley Avenue, Instruction: Turn right onto Horsley Avenue, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at Horsley Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
