Name: Radio Avenue, Instruction: Head northeast on Radio Avenue, Distance: 208.6 meters, Time: 150.2 seconds
Name: Scales Parade, Instruction: Keep right onto Scales Parade, Distance: 198.0 meters, Time: 142.6 seconds
Name: Lewis Street, Instruction: Turn right onto Lewis Street, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 169.1 meters, Time: 121.8 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 238.9 meters, Time: 172.0 seconds
Name: Russell Street, Instruction: Turn sharp left onto Russell Street, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.3 seconds
Name: Russell Street, Instruction: Turn right onto Russell Street, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn left, Distance: 165.0 meters, Time: 118.8 seconds
Name: Peronne Avenue, Instruction: Turn right onto Peronne Avenue, Distance: 60.6 meters, Time: 43.6 seconds
Name: Linkmead Avenue, Instruction: Turn left onto Linkmead Avenue, Distance: 170.9 meters, Time: 123.1 seconds
Name: -, Instruction: Arrive at Linkmead Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
