Name: Millhouse Place, Instruction: Head southeast on Millhouse Place, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 115.1 meters, Time: 82.8 seconds
Name: -, Instruction: Turn left, Distance: 890.1 meters, Time: 640.9 seconds
Name: -, Instruction: Turn slight right, Distance: 130.3 meters, Time: 93.8 seconds
Name: -, Instruction: Turn slight left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 185.3 meters, Time: 133.4 seconds
Name: Westwood Way, Instruction: Turn right onto Westwood Way, Distance: 57.5 meters, Time: 41.4 seconds
Name: Westwood Way, Instruction: Keep right onto Westwood Way, Distance: 27.0 meters, Time: 19.5 seconds
Name: Westwood Way, Instruction: Enter the roundabout and take the 3rd exit onto Westwood Way, Distance: 419.1 meters, Time: 301.8 seconds
Name: -, Instruction: Turn left, Distance: 78.8 meters, Time: 56.7 seconds
Name: Flagstone Grove, Instruction: Continue straight onto Flagstone Grove, Distance: 66.4 meters, Time: 47.8 seconds
Name: Flagstone Grove, Instruction: Enter the roundabout and take the 2nd exit onto Flagstone Grove, Distance: 87.1 meters, Time: 62.7 seconds
Name: Wainwright Mews, Instruction: Turn left onto Wainwright Mews, Distance: 64.2 meters, Time: 46.2 seconds
Name: Wainwright Mews, Instruction: Turn right onto Wainwright Mews, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Arrive at Wainwright Mews, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
