Name: Maltings Place, Instruction: Head east on Maltings Place, Distance: 3.7 meters, Time: 2.7 seconds
Name: Roper Lane, Instruction: Turn right onto Roper Lane, Distance: 9.1 meters, Time: 6.6 seconds
Name: Roper Lane, Instruction: Keep left onto Roper Lane, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Tooley Street, Instruction: Turn right onto Tooley Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Queen Elizabeth Street, Instruction: Turn right onto Queen Elizabeth Street, Distance: 496.0 meters, Time: 357.1 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 63.0 meters, Time: 45.4 seconds
Name: Cloister Walk, Instruction: Turn slight left onto Cloister Walk, Distance: 103.2 meters, Time: 74.3 seconds
Name: St. Katharine's Way, Instruction: Turn left onto St. Katharine's Way, Distance: 120.0 meters, Time: 86.4 seconds
Name: St. Katharine's Way, Instruction: Turn right onto St. Katharine's Way, Distance: 241.9 meters, Time: 174.1 seconds
Name: Wapping High Street, Instruction: Turn right onto Wapping High Street, Distance: 51.5 meters, Time: 37.0 seconds
Name: Redmead Lane, Instruction: Turn sharp left onto Redmead Lane, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at Redmead Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
