Name: Otto-Perutz-Straße, Instruction: Head west on Otto-Perutz-Straße, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: Karl-Dressel-Straße, Instruction: Turn left onto Karl-Dressel-Straße, Distance: 104.4 meters, Time: 75.1 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 333.4 meters, Time: 240.0 seconds
Name: -, Instruction: Turn right, Distance: 1374.5 meters, Time: 989.6 seconds
Name: -, Instruction: Keep left, Distance: 157.3 meters, Time: 113.3 seconds
Name: -, Instruction: Keep left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
