Name: Keele Street, Instruction: Head south on Keele Street, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 387.2 meters, Time: 278.8 seconds
Name: -, Instruction: Keep right, Distance: 282.0 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn slight right, Distance: 115.2 meters, Time: 83.0 seconds
Name: -, Instruction: Keep left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 324.0 meters, Time: 233.2 seconds
Name: -, Instruction: Turn slight left, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Keep left, Distance: 405.5 meters, Time: 291.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Keep right, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Keep right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 127.3 meters, Time: 91.6 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
