Name: Dreyer Close, Instruction: Head west on Dreyer Close, Distance: 93.1 meters, Time: 67.0 seconds
Name: Van Breda Street, Instruction: Turn right onto Van Breda Street, Distance: 694.0 meters, Time: 499.7 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: Deurdrift Walk, Instruction: Turn left onto Deurdrift Walk, Distance: 484.4 meters, Time: 348.8 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 271.7 meters, Time: 195.6 seconds
Name: -, Instruction: Keep right, Distance: 104.2 meters, Time: 75.0 seconds
Name: Alphen Drive, Instruction: Turn sharp right onto Alphen Drive, Distance: 38.4 meters, Time: 27.7 seconds
Name: Alphen Drive, Instruction: Keep left onto Alphen Drive, Distance: 17.6 meters, Time: 12.7 seconds
Name: Alphen Drive, Instruction: Enter the roundabout and take the 1st exit onto Alphen Drive, Distance: 178.4 meters, Time: 128.4 seconds
Name: Peter Cloete Avenue, Instruction: Turn left onto Peter Cloete Avenue, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
