Name: Rua Martim Francisco, Instruction: Head northeast on Rua Martim Francisco, Distance: 233.5 meters, Time: 168.1 seconds
Name: Rua Senador Camará, Instruction: Turn left onto Rua Senador Camará, Distance: 15.7 meters, Time: 11.3 seconds
Name: Rua Senador Camará, Instruction: Turn sharp right onto Rua Senador Camará, Distance: 126.6 meters, Time: 91.1 seconds
Name: Rua Dom João VI, Instruction: Turn sharp right onto Rua Dom João VI, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: Rua Lopes de Moura, Instruction: Turn left onto Rua Lopes de Moura, Distance: 42.8 meters, Time: 30.8 seconds
Name: Rua Dom Pedro I, Instruction: Turn left onto Rua Dom Pedro I, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: Rua Felipe Cardoso, Instruction: Turn left onto Rua Felipe Cardoso, Distance: 9.4 meters, Time: 6.8 seconds
Name: Rua Dom Pedro I, Instruction: Turn right onto Rua Dom Pedro I, Distance: 504.4 meters, Time: 363.1 seconds
Name: Rua Marquês de Barbacena, Instruction: Turn right onto Rua Marquês de Barbacena, Distance: 448.0 meters, Time: 322.5 seconds
Name: Rua General Olímpio, Instruction: Turn sharp left onto Rua General Olímpio, Distance: 78.9 meters, Time: 56.8 seconds
Name: Rua General Olímpio, Instruction: Continue straight onto Rua General Olímpio, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
