Name: Durian Place, Instruction: Head south on Durian Place, Distance: 332.8 meters, Time: 239.6 seconds
Name: Newton Road, Instruction: Turn left onto Newton Road, Distance: 556.6 meters, Time: 400.7 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 158.6 meters, Time: 114.2 seconds
Name: Metters Place, Instruction: Turn left onto Metters Place, Distance: 10.5 meters, Time: 7.5 seconds
Name: Newton Road, Instruction: Turn right onto Newton Road, Distance: 188.5 meters, Time: 135.8 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 285.8 meters, Time: 205.8 seconds
Name: Liverpool-Parramatta T-Way Shared Path, Instruction: Turn left onto Liverpool-Parramatta T-Way Shared Path, Distance: 37.9 meters, Time: 27.3 seconds
Name: Liverpool-Parramatta T-Way Shared Path, Instruction: Turn left onto Liverpool-Parramatta T-Way Shared Path, Distance: 31.1 meters, Time: 22.4 seconds
Name: Liverpool-Parramatta T-Way Shared Path, Instruction: Turn right onto Liverpool-Parramatta T-Way Shared Path, Distance: 335.0 meters, Time: 241.2 seconds
Name: -, Instruction: Keep left, Distance: 258.7 meters, Time: 186.3 seconds
Name: Hargraves Place, Instruction: Turn left onto Hargraves Place, Distance: 122.6 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
