Name: شارع عمر بن عبد العزيز, Instruction: Head southeast on شارع عمر بن عبد العزيز, Distance: 42.8 meters, Time: 30.8 seconds
Name: شارع ابن النفيس, Instruction: Turn right onto شارع ابن النفيس, Distance: 298.1 meters, Time: 214.6 seconds
Name: شارع الاندلسى, Instruction: Turn right onto شارع الاندلسى, Distance: 2.4 meters, Time: 1.7 seconds
Name: شارع ابن النفيس, Instruction: Turn left onto شارع ابن النفيس, Distance: 213.3 meters, Time: 153.6 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: شارع على محمود, Instruction: Turn left onto شارع على محمود, Distance: 225.3 meters, Time: 162.2 seconds
Name: شارع جمال عبد الناصر, Instruction: Turn right onto شارع جمال عبد الناصر, Distance: 173.2 meters, Time: 124.7 seconds
Name: محور الفريق إبراهيم العرابى الجانبي, Instruction: Turn left onto محور الفريق إبراهيم العرابى الجانبي, Distance: 7.0 meters, Time: 5.0 seconds
Name: شارع جمال عبد الناصر, Instruction: Turn left onto شارع جمال عبد الناصر, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 100.5 meters, Time: 72.3 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 191.0 meters, Time: 137.5 seconds
Name: -, Instruction: Turn left, Distance: 125.2 meters, Time: 90.2 seconds
Name: شارع ثلاجه الزهراء, Instruction: Turn slight right onto شارع ثلاجه الزهراء, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Arrive at شارع ثلاجه الزهراء, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
