Name: Queen Natalie Place, Instruction: Head northwest on Queen Natalie Place, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn left, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Keep left, Distance: 199.5 meters, Time: 143.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Colwill Road, Instruction: Turn left onto Colwill Road, Distance: 227.9 meters, Time: 164.1 seconds
Name: -, Instruction: Arrive at Colwill Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
