Name: Fairview Road, Instruction: Head north on Fairview Road, Distance: 108.9 meters, Time: 78.4 seconds
Name: Roche Road, Instruction: Turn right onto Roche Road, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Continue straight, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Keep left, Distance: 108.2 meters, Time: 77.9 seconds
Name: Granville Gardens, Instruction: Turn right onto Granville Gardens, Distance: 176.6 meters, Time: 127.1 seconds
Name: Green Lane, B273, Instruction: Turn right onto Green Lane, B273, Distance: 55.2 meters, Time: 39.7 seconds
Name: Briar Avenue, Instruction: Turn left onto Briar Avenue, Distance: 551.1 meters, Time: 396.8 seconds
Name: Briar Avenue, Instruction: Keep right onto Briar Avenue, Distance: 24.3 meters, Time: 17.5 seconds
Name: Covington Way, Instruction: Turn right onto Covington Way, Distance: 96.9 meters, Time: 69.7 seconds
Name: -, Instruction: Turn left, Distance: 159.8 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
