Name: Korotaha Terrace, Instruction: Head southwest on Korotaha Terrace, Distance: 216.7 meters, Time: 156.0 seconds
Name: Beulah Avenue, Instruction: Turn slight left onto Beulah Avenue, Distance: 379.2 meters, Time: 273.0 seconds
Name: Garadice Road, Instruction: Turn right onto Garadice Road, Distance: 409.2 meters, Time: 294.6 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: Beach Road, Instruction: Turn right onto Beach Road, Distance: 78.0 meters, Time: 56.1 seconds
Name: Lyons Avenue, Instruction: Turn left onto Lyons Avenue, Distance: 460.3 meters, Time: 331.4 seconds
Name: Saddleback Rise, Instruction: Enter the roundabout and take the 1st exit onto Saddleback Rise, Distance: 127.4 meters, Time: 91.7 seconds
Name: Aotearoa Terrace, Instruction: Turn left onto Aotearoa Terrace, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn right, Distance: 270.0 meters, Time: 194.4 seconds
Name: -, Instruction: Turn right, Distance: 180.6 meters, Time: 130.1 seconds
Name: -, Instruction: Turn slight right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
