Name: Parcours Santé, Instruction: Head north on Parcours Santé, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 128.7 meters, Time: 92.7 seconds
Name: Route Brûlée, Instruction: Turn slight right onto Route Brûlée, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: Route du Lac de Saint-Mandé, Instruction: Turn left onto Route du Lac de Saint-Mandé, Distance: 274.6 meters, Time: 197.7 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep left, Distance: 267.9 meters, Time: 192.9 seconds
Name: -, Instruction: Keep left, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Turn slight left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 288.1 meters, Time: 207.4 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Keep left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn slight left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Segond, Instruction: Turn left onto Rue Segond, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Jean Moulin, Instruction: Turn right onto Rue Jean Moulin, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue du Docteur Lebel, Instruction: Turn left onto Rue du Docteur Lebel, Distance: 143.8 meters, Time: 103.5 seconds
Name: -, Instruction: Arrive at Rue du Docteur Lebel, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
