Name: Rua Joaquim de Queiroz, Instruction: Head east on Rua Joaquim de Queiroz, Distance: 33.1 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn slight left, Distance: 41.9 meters, Time: 30.2 seconds
Name: Rua da Torre, Instruction: Turn left onto Rua da Torre, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rua da Torre, Instruction: Keep right onto Rua da Torre, Distance: 44.4 meters, Time: 32.0 seconds
Name: Estrada da Alvorada, Instruction: Turn slight left onto Estrada da Alvorada, Distance: 14.8 meters, Time: 10.7 seconds
Name: Estrada da Alvorada, Instruction: Keep left onto Estrada da Alvorada, Distance: 307.7 meters, Time: 221.5 seconds
Name: Rua Sete de Setembro, Instruction: Continue straight onto Rua Sete de Setembro, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Continue straight, Distance: 12.0 meters, Time: 8.7 seconds
Name: Rua Sete de Setembro, Instruction: Continue straight onto Rua Sete de Setembro, Distance: 41.1 meters, Time: 29.6 seconds
Name: Rua da Alvorada, Instruction: Turn right onto Rua da Alvorada, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Keep right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Continue straight, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Rua Santa Catarina, Instruction: Turn right onto Rua Santa Catarina, Distance: 288.0 meters, Time: 207.4 seconds
Name: -, Instruction: Turn right, Distance: 66.8 meters, Time: 48.1 seconds
Name: Travessa João Filho (NR), Instruction: Turn left onto Travessa João Filho (NR), Distance: 55.6 meters, Time: 40.1 seconds
Name: Rua Nova Brasília, Instruction: Turn right onto Rua Nova Brasília, Distance: 206.1 meters, Time: 148.4 seconds
Name: Avenida Itaóca, Instruction: Turn left onto Avenida Itaóca, Distance: 147.4 meters, Time: 106.1 seconds
Name: Avenida Itaóca, Instruction: Keep right onto Avenida Itaóca, Distance: 38.3 meters, Time: 27.6 seconds
Name: Estrada do Itararé, Instruction: Continue straight onto Estrada do Itararé, Distance: 10.1 meters, Time: 7.3 seconds
Name: Avenida Itaóca, Instruction: Continue straight onto Avenida Itaóca, Distance: 219.1 meters, Time: 157.7 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
