Name: Place Gérard Oury, Instruction: Head southwest on Place Gérard Oury, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 152.9 meters, Time: 110.1 seconds
Name: -, Instruction: Turn left, Distance: 429.7 meters, Time: 309.4 seconds
Name: -, Instruction: Turn right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 202.9 meters, Time: 146.1 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue de Laborde, Instruction: Turn left onto Rue de Laborde, Distance: 210.9 meters, Time: 151.8 seconds
Name: Rue du Rocher, Instruction: Continue straight onto Rue du Rocher, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 95.2 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
