Name: Rua Joaquina Rosa, Instruction: Head northwest on Rua Joaquina Rosa, Distance: 149.7 meters, Time: 107.8 seconds
Name: Rua Joaquim Méier, Instruction: Turn right onto Rua Joaquim Méier, Distance: 366.6 meters, Time: 264.0 seconds
Name: Rua Vinte e Quatro de Maio, Instruction: Turn left onto Rua Vinte e Quatro de Maio, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: 1, Instruction: Continue straight onto 1, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.6 seconds
Name: Rua Arquias Cordeiro, Instruction: Turn left onto Rua Arquias Cordeiro, Distance: 596.7 meters, Time: 429.6 seconds
Name: Rua José Bonifácio, Instruction: Turn right onto Rua José Bonifácio, Distance: 275.3 meters, Time: 198.2 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
