Name: Forum am Hirschgarten, Instruction: Head south on Forum am Hirschgarten, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 228.8 meters, Time: 164.7 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 197.8 meters, Time: 142.4 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn slight right, Distance: 235.0 meters, Time: 169.2 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 214.9 meters, Time: 154.7 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Turn right, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 174.8 meters, Time: 125.8 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: Herthastraße, Instruction: Turn left onto Herthastraße, Distance: 163.5 meters, Time: 117.7 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
