Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 57.1 meters, Time: 41.1 seconds
Name: Tahingamanu Road, Instruction: Turn right onto Tahingamanu Road, Distance: 120.5 meters, Time: 86.7 seconds
Name: Tahingamanu Road, Instruction: Continue straight onto Tahingamanu Road, Distance: 179.3 meters, Time: 129.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn left, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Continue straight, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Keep right, Distance: 174.0 meters, Time: 125.3 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Ian Morrison Road, Instruction: Turn left onto Ian Morrison Road, Distance: 113.2 meters, Time: 81.5 seconds
Name: Sidney Wallingford Way, Instruction: Turn right onto Sidney Wallingford Way, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Keep right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: Nugget Avenue, Instruction: Turn left onto Nugget Avenue, Distance: 71.6 meters, Time: 51.5 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn slight right, Distance: 58.5 meters, Time: 42.1 seconds
Name: Waenganui Road, Instruction: Turn left onto Waenganui Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at Waenganui Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
