Name: A101, Instruction: Head southwest on A101, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.3 seconds
Name: Jamaica Road, Instruction: Turn right onto Jamaica Road, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight left, Distance: 202.7 meters, Time: 145.9 seconds
Name: -, Instruction: Keep right, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 57.9 seconds
Name: Southwark Park Road, Instruction: Turn sharp left onto Southwark Park Road, Distance: 96.6 meters, Time: 69.6 seconds
Name: Frankland Close, Instruction: Turn left onto Frankland Close, Distance: 84.0 meters, Time: 60.5 seconds
Name: Frankland Close, Instruction: Turn right onto Frankland Close, Distance: 53.0 meters, Time: 38.2 seconds
Name: Frankland Close, Instruction: Turn slight right onto Frankland Close, Distance: 71.1 meters, Time: 51.2 seconds
Name: Aspinden Road, Instruction: Turn right onto Aspinden Road, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
