Name: Alameda Sandra Alvim, Instruction: Head north on Alameda Sandra Alvim, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 755.0 meters, Time: 543.6 seconds
Name: Ciclovia da Estrada Benvindo de Novaes, Instruction: Turn left onto Ciclovia da Estrada Benvindo de Novaes, Distance: 259.0 meters, Time: 186.5 seconds
Name: Rua Alberto Cavalcanti, Instruction: Turn right onto Rua Alberto Cavalcanti, Distance: 77.2 meters, Time: 55.6 seconds
Name: Rua Nelson Tarquinio, Instruction: Turn left onto Rua Nelson Tarquinio, Distance: 200.2 meters, Time: 144.1 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.2 seconds
Name: Avenida das Américas, Instruction: Turn sharp right onto Avenida das Américas, Distance: 185.0 meters, Time: 133.2 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
