Name: Nereid Road, Instruction: Head southeast on Nereid Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 237.5 meters, Time: 171.0 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 198.0 meters, Time: 142.6 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn left, Distance: 1000.3 meters, Time: 720.2 seconds
Name: -, Instruction: Turn right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Nightjar Street, Instruction: Turn left onto Nightjar Street, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at Nightjar Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
