Name: Rue du Val d'Osne, Instruction: Head north on Rue du Val d'Osne, Distance: 212.9 meters, Time: 153.3 seconds
Name: Rue des Épinettes, Instruction: Turn sharp left onto Rue des Épinettes, Distance: 245.4 meters, Time: 176.7 seconds
Name: -, Instruction: Turn slight left, Distance: 51.4 meters, Time: 37.0 seconds
Name: Rue Gabriel Péri, Instruction: Turn left onto Rue Gabriel Péri, Distance: 252.6 meters, Time: 181.9 seconds
Name: Rue de Paris, Instruction: Turn right onto Rue de Paris, Distance: 201.9 meters, Time: 145.3 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Place Ramon, Instruction: Turn right onto Place Ramon, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue de Conflans, Instruction: Turn left onto Rue de Conflans, Distance: 538.8 meters, Time: 387.9 seconds
Name: Rue du Président Kennedy, Instruction: Turn left onto Rue du Président Kennedy, Distance: 64.0 meters, Time: 46.1 seconds
Name: Rue du Président Kennedy, Instruction: Turn right onto Rue du Président Kennedy, Distance: 281.3 meters, Time: 202.5 seconds
Name: Rue du Séminaire de Conflans, Instruction: Turn left onto Rue du Séminaire de Conflans, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: Avenue de la Liberté, Instruction: Turn left onto Avenue de la Liberté, Distance: 172.7 meters, Time: 124.3 seconds
Name: -, Instruction: Keep right, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
