Name: Quai de la Charente, Instruction: Head east on Quai de la Charente, Distance: 79.9 meters, Time: 57.5 seconds
Name: Galerie de la Villette, Instruction: Turn left onto Galerie de la Villette, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.5 meters, Time: 23.4 seconds
Name: Galerie de la Villette, Instruction: Continue straight onto Galerie de la Villette, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 145.8 meters, Time: 105.0 seconds
Name: -, Instruction: Continue straight, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Keep left, Distance: 36.3 meters, Time: 26.1 seconds
Name: Quai de la Marne, Instruction: Continue straight onto Quai de la Marne, Distance: 231.3 meters, Time: 166.6 seconds
Name: Rue de la Marne, Instruction: Turn left onto Rue de la Marne, Distance: 89.0 meters, Time: 64.1 seconds
Name: Rue de Thionville, Instruction: Turn slight right onto Rue de Thionville, Distance: 313.5 meters, Time: 225.7 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.4 seconds
Name: Rue Tandou, Instruction: Turn right onto Rue Tandou, Distance: 137.6 meters, Time: 99.1 seconds
Name: Rue Pierre Girard, Instruction: Turn slight left onto Rue Pierre Girard, Distance: 71.3 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 169.0 meters, Time: 121.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
