Name: John Ian Wing Parade, Instruction: Head southeast on John Ian Wing Parade, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 133.9 meters, Time: 96.4 seconds
Name: -, Instruction: Turn right, Distance: 258.0 meters, Time: 185.7 seconds
Name: -, Instruction: Keep left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 111.3 meters, Time: 80.1 seconds
Name: -, Instruction: Turn left, Distance: 265.5 meters, Time: 191.1 seconds
Name: -, Instruction: Keep right, Distance: 184.5 meters, Time: 132.8 seconds
Name: -, Instruction: Turn right, Distance: 268.7 meters, Time: 193.5 seconds
Name: Murray Rose Avenue, Instruction: Turn right onto Murray Rose Avenue, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
