Name: Rue Claude Tillier, Instruction: Head north on Rue Claude Tillier, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 330.5 meters, Time: 238.0 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 203.2 meters, Time: 146.3 seconds
Name: -, Instruction: Turn slight right, Distance: 148.1 meters, Time: 106.6 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Keep left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Keep left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Keep right, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Keep left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 359.0 meters, Time: 258.5 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Place de la Bastille, Instruction: Turn left onto Place de la Bastille, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
