Name: Defu Lane 11, Instruction: Head southeast on Defu Lane 11, Distance: 241.7 meters, Time: 174.0 seconds
Name: Defu Lane 12, Instruction: Turn right onto Defu Lane 12, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn right, Distance: 285.6 meters, Time: 205.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 287.4 meters, Time: 206.9 seconds
Name: -, Instruction: Turn slight right, Distance: 160.2 meters, Time: 115.3 seconds
Name: Tai Seng Drive, Instruction: Turn left onto Tai Seng Drive, Distance: 9.8 meters, Time: 7.1 seconds
Name: Tai Seng Avenue, Instruction: Turn right onto Tai Seng Avenue, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
