Name: Chatsworth Avenue, Instruction: Head northwest on Chatsworth Avenue, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 400.1 meters, Time: 288.1 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Tanglin Road, Instruction: Turn right onto Tanglin Road, Distance: 51.5 meters, Time: 37.1 seconds
Name: Tanglin Road, Instruction: Keep left onto Tanglin Road, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Keep left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.6 seconds
Name: Orchard Promenade, Instruction: Turn right onto Orchard Promenade, Distance: 11.8 meters, Time: 8.5 seconds
Name: Orchard Promenade, Instruction: Turn left onto Orchard Promenade, Distance: 8.5 meters, Time: 6.1 seconds
Name: Orchard Promenade, Instruction: Continue straight onto Orchard Promenade, Distance: 182.4 meters, Time: 131.3 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 404.1 meters, Time: 291.0 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: Orchard Promenade, Instruction: Turn right onto Orchard Promenade, Distance: 23.1 meters, Time: 16.6 seconds
Name: Orchard Promenade, Instruction: Turn sharp left onto Orchard Promenade, Distance: 27.8 meters, Time: 20.0 seconds
Name: Orchard Promenade, Instruction: Turn right onto Orchard Promenade, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Keep left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Orange Grove Road, Instruction: Turn right onto Orange Grove Road, Distance: 145.9 meters, Time: 105.0 seconds
Name: Orange Grove Road, Instruction: Keep right onto Orange Grove Road, Distance: 28.6 meters, Time: 20.6 seconds
Name: Anderson Road, Instruction: Turn right onto Anderson Road, Distance: 360.6 meters, Time: 259.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
