Name: Bukit Batok Street 32, Instruction: Head southeast on Bukit Batok Street 32, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 235.7 meters, Time: 169.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Bukit Batok West Park Connector, Instruction: Turn left onto Bukit Batok West Park Connector, Distance: 96.5 meters, Time: 69.5 seconds
Name: Bukit Batok Park Connector, Instruction: Turn right onto Bukit Batok Park Connector, Distance: 49.6 meters, Time: 35.7 seconds
Name: Bukit Batok Park Connector, Instruction: Continue straight onto Bukit Batok Park Connector, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn slight left, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 437.7 meters, Time: 315.1 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: Bukit Batok Park Connector, Instruction: Turn slight left onto Bukit Batok Park Connector, Distance: 4.7 meters, Time: 3.4 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Turn right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
