Name: Dunsterville Way, Instruction: Head east on Dunsterville Way, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: Weston Street, Instruction: Turn left onto Weston Street, Distance: 291.9 meters, Time: 210.2 seconds
Name: St. Thomas Street, Instruction: Turn left onto St. Thomas Street, Distance: 161.9 meters, Time: 116.5 seconds
Name: Joiner Street, Instruction: Turn right onto Joiner Street, Distance: 19.2 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: London Bridge Street, Instruction: Turn right onto London Bridge Street, Distance: 26.2 meters, Time: 18.9 seconds
Name: London Bridge Street, Instruction: Turn left onto London Bridge Street, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 367.5 meters, Time: 264.6 seconds
Name: King William Street, Instruction: Turn left onto King William Street, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.2 seconds
Name: Upper Thames Street, Instruction: Turn right onto Upper Thames Street, Distance: 59.0 meters, Time: 42.5 seconds
Name: Upper Thames Street, Instruction: Turn left onto Upper Thames Street, Distance: 25.5 meters, Time: 18.4 seconds
Name: Laurence Pountney Lane, Instruction: Turn right onto Laurence Pountney Lane, Distance: 59.8 meters, Time: 43.0 seconds
Name: Laurence Pountney Hill, Instruction: Turn left onto Laurence Pountney Hill, Distance: 25.6 meters, Time: 18.4 seconds
Name: Laurence Pountney Hill, Instruction: Keep left onto Laurence Pountney Hill, Distance: 12.3 meters, Time: 8.9 seconds
Name: Laurence Pountney Hill, Instruction: Turn right onto Laurence Pountney Hill, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at Laurence Pountney Hill, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
