Name: Promenade Plantée, Instruction: Head southeast on Promenade Plantée, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Rue de Montempoivre, Instruction: Turn right onto Rue de Montempoivre, Distance: 26.8 meters, Time: 19.3 seconds
Name: Avenue du Général Michel Bizot, Instruction: Turn left onto Avenue du Général Michel Bizot, Distance: 37.2 meters, Time: 26.8 seconds
Name: Rue Louis Braille, Instruction: Turn right onto Rue Louis Braille, Distance: 274.8 meters, Time: 197.9 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn slight right, Distance: 230.0 meters, Time: 165.6 seconds
Name: -, Instruction: Keep right, Distance: 36.9 meters, Time: 26.6 seconds
Name: Place Félix Éboué, Instruction: Turn right onto Place Félix Éboué, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight right, Distance: 223.7 meters, Time: 161.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Keep left, Distance: 176.4 meters, Time: 127.0 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 305.6 meters, Time: 220.0 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: Rue de l'Ambroisie, Instruction: Turn right onto Rue de l'Ambroisie, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 184.5 meters, Time: 132.8 seconds
Name: -, Instruction: Turn left, Distance: 268.0 meters, Time: 193.0 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: Quai Panhard et Levassor, Instruction: Turn left onto Quai Panhard et Levassor, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Arrive at Quai Panhard et Levassor, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
