Name: 成増北口通り, Instruction: Head south on 成増北口通り, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn slight right, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn slight right, Distance: 119.9 meters, Time: 86.4 seconds
Name: すずらん通り, Instruction: Turn right onto すずらん通り, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 216.4 meters, Time: 155.8 seconds
Name: -, Instruction: Keep left, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Turn left, Distance: 562.1 meters, Time: 404.7 seconds
Name: -, Instruction: Turn left, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 204.8 meters, Time: 147.4 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
