Name: Via Italia, Instruction: Head south on Via Italia, Distance: 504.0 meters, Time: 362.9 seconds
Name: Nunes Lane, Instruction: Turn left onto Nunes Lane, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: McFarland Avenue, Instruction: Turn right onto McFarland Avenue, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn slight left, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.4 meters, Time: 3.9 seconds
Name: Bartlett Avenue North, Instruction: Turn right onto Bartlett Avenue North, Distance: 467.0 meters, Time: 336.3 seconds
Name: -, Instruction: Arrive at Bartlett Avenue North, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
