Name: Avenida Niemeyer, Instruction: Head southwest on Avenida Niemeyer, Distance: 407.8 meters, Time: 293.6 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: Ciclovia Tim Maia, Instruction: Turn right onto Ciclovia Tim Maia, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.1 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: Estrada do Vidigal, Instruction: Turn left onto Estrada do Vidigal, Distance: 598.2 meters, Time: 430.7 seconds
Name: Avenida Presidente João Goulart, Instruction: Turn right onto Avenida Presidente João Goulart, Distance: 104.8 meters, Time: 75.5 seconds
Name: Avenida Presidente João Goulart, Instruction: Turn right onto Avenida Presidente João Goulart, Distance: 176.7 meters, Time: 127.2 seconds
Name: Rua Nuno Alvares Pereira, Instruction: Turn right onto Rua Nuno Alvares Pereira, Distance: 80.4 meters, Time: 57.9 seconds
Name: Rua Nuno Alvares Pereira, Instruction: Turn right onto Rua Nuno Alvares Pereira, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Arrive at Rua Nuno Alvares Pereira, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
