Name: East Lane, Instruction: Head north on East Lane, Distance: 126.0 meters, Time: 90.7 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.6 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: West Lane, Instruction: Turn left onto West Lane, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: Carinya Avenue, Instruction: Turn left onto Carinya Avenue, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
