Name: Cité Griset, Instruction: Head southeast on Cité Griset, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn right, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: Rue Saint-Maur, Instruction: Turn left onto Rue Saint-Maur, Distance: 120.3 meters, Time: 86.6 seconds
Name: Rue Saint-Maur, Instruction: Keep right onto Rue Saint-Maur, Distance: 191.2 meters, Time: 137.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Rue Saint-Ambroise, Instruction: Turn right onto Rue Saint-Ambroise, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: Rue du Général Guilhem, Instruction: Turn left onto Rue du Général Guilhem, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Keep left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Rue du Général Renault, Instruction: Turn left onto Rue du Général Renault, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 264.5 meters, Time: 190.5 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: Rue Camille Desmoulins, Instruction: Turn sharp left onto Rue Camille Desmoulins, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at Rue Camille Desmoulins, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
