Name: Hereford Street, Instruction: Head east on Hereford Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn left, Distance: 145.8 meters, Time: 105.0 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight left, Distance: 105.2 meters, Time: 75.8 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 286.9 meters, Time: 206.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
