Name: Wolseley Street, Instruction: Head east on Wolseley Street, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Continue straight, Distance: 46.8 meters, Time: 33.7 seconds
Name: Marine Street, Instruction: Turn right onto Marine Street, Distance: 230.3 meters, Time: 165.8 seconds
Name: Rouel Road, Instruction: Turn slight left onto Rouel Road, Distance: 31.7 meters, Time: 22.8 seconds
Name: Spa Road, Instruction: Turn left onto Spa Road, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Keep right, Distance: 395.8 meters, Time: 285.0 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: Blue Anchor Lane, Instruction: Turn left onto Blue Anchor Lane, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: Rock Grove Way, Instruction: Turn left onto Rock Grove Way, Distance: 149.2 meters, Time: 107.4 seconds
Name: Blue Anchor Lane, Instruction: Turn right onto Blue Anchor Lane, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 39.9 meters, Time: 28.7 seconds
Name: Bombay Street, Instruction: Turn right onto Bombay Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: Southwark Park Road, A2206, Instruction: Turn left onto Southwark Park Road, A2206, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
