Name: Rue Primo Levi, Instruction: Head southwest on Rue Primo Levi, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 256.6 meters, Time: 184.8 seconds
Name: -, Instruction: Turn right, Distance: 184.5 meters, Time: 132.8 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: Rue de l'Ambroisie, Instruction: Turn right onto Rue de l'Ambroisie, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 123.4 meters, Time: 88.8 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Rue Coriolis, Instruction: Turn sharp left onto Rue Coriolis, Distance: 157.7 meters, Time: 113.6 seconds
Name: Boulevard de Bercy, Instruction: Turn right onto Boulevard de Bercy, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn slight left, Distance: 168.6 meters, Time: 121.4 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
