Name: Calle Presa Salinillas, Instruction: Head east on Calle Presa Salinillas, Distance: 57.8 meters, Time: 41.6 seconds
Name: Avenida Irrigación, Instruction: Turn right onto Avenida Irrigación, Distance: 231.4 meters, Time: 166.6 seconds
Name: Calle Presa Santa Rosa, Instruction: Turn left onto Calle Presa Santa Rosa, Distance: 103.7 meters, Time: 74.6 seconds
Name: Calle Presa la Angostura, Instruction: Turn right onto Calle Presa la Angostura, Distance: 200.3 meters, Time: 144.2 seconds
Name: Boulevard Miguel de Cervantes Saavedra, Instruction: Turn left onto Boulevard Miguel de Cervantes Saavedra, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 220.6 meters, Time: 158.9 seconds
Name: Boulevard Miguel de Cervantes Saavedra, Instruction: Keep left onto Boulevard Miguel de Cervantes Saavedra, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Keep left, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 362.9 meters, Time: 261.3 seconds
Name: Ferrocarril a Cuernavaca, Instruction: Continue straight onto Ferrocarril a Cuernavaca, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Keep left, Distance: 426.4 meters, Time: 307.0 seconds
Name: Calle Lago Filt, Instruction: Turn left onto Calle Lago Filt, Distance: 127.0 meters, Time: 91.4 seconds
Name: Avenida Río San Joaquín, Instruction: Turn right onto Avenida Río San Joaquín, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: Avenida Río San Joaquín, Instruction: Turn left onto Avenida Río San Joaquín, Distance: 192.7 meters, Time: 138.7 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
