Name: Western Gateway, Instruction: Head east on Western Gateway, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn slight right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Continue straight, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 205.9 meters, Time: 148.3 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: Freemasons Road, Instruction: Turn left onto Freemasons Road, Distance: 20.6 meters, Time: 14.9 seconds
Name: Ethel Road, Instruction: Turn right onto Ethel Road, Distance: 135.9 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: Leslie Road, Instruction: Turn right onto Leslie Road, Distance: 15.8 meters, Time: 11.4 seconds
Name: Leslie Road, Instruction: Turn left onto Leslie Road, Distance: 90.2 meters, Time: 64.9 seconds
Name: Leslie Road, Instruction: Turn right onto Leslie Road, Distance: 54.5 meters, Time: 39.2 seconds
Name: Garvary Road, Instruction: Turn right onto Garvary Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: Garvary Road, Instruction: Turn right onto Garvary Road, Distance: 295.4 meters, Time: 212.7 seconds
Name: Prince Regent Lane, A112, Instruction: Turn left onto Prince Regent Lane, A112, Distance: 22.6 meters, Time: 16.3 seconds
Name: Ripley Road, Instruction: Turn right onto Ripley Road, Distance: 158.5 meters, Time: 114.1 seconds
Name: Nottingham Avenue, Instruction: Turn left onto Nottingham Avenue, Distance: 11.8 meters, Time: 8.5 seconds
Name: Wilkinson Road, Instruction: Turn right onto Wilkinson Road, Distance: 65.2 meters, Time: 47.0 seconds
Name: Wilkinson Road, Instruction: Turn right onto Wilkinson Road, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 242.8 meters, Time: 174.8 seconds
Name: Monarch Drive, Instruction: Turn left onto Monarch Drive, Distance: 7.7 meters, Time: 5.5 seconds
Name: Meadowsweet Close, Instruction: Turn right onto Meadowsweet Close, Distance: 28.0 meters, Time: 20.1 seconds
Name: Meadowsweet Close, Instruction: Turn right onto Meadowsweet Close, Distance: 20.7 meters, Time: 14.9 seconds
Name: Congreve Walk, Instruction: Turn left onto Congreve Walk, Distance: 160.6 meters, Time: 115.7 seconds
Name: Congreve Walk, Instruction: Keep left onto Congreve Walk, Distance: 27.9 meters, Time: 20.1 seconds
Name: Stansfeld Road, Instruction: Turn left onto Stansfeld Road, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Keep right, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
