Name: The High Road, Instruction: Head southwest on The High Road, Distance: 458.3 meters, Time: 330.0 seconds
Name: Warwick Close, Instruction: Turn right onto Warwick Close, Distance: 243.7 meters, Time: 175.5 seconds
Name: -, Instruction: Turn left, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Mitchells Pass, Instruction: Turn left onto Mitchells Pass, Distance: 201.7 meters, Time: 145.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 173.8 meters, Time: 125.1 seconds
Name: -, Instruction: Turn slight left, Distance: 166.9 meters, Time: 120.1 seconds
Name: -, Instruction: Turn slight right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 163.5 meters, Time: 117.7 seconds
Name: Olivet Street, Instruction: Turn right onto Olivet Street, Distance: 136.4 meters, Time: 98.2 seconds
Name: Stone Bridge Drive, Instruction: Turn left onto Stone Bridge Drive, Distance: 399.3 meters, Time: 287.5 seconds
Name: Olivet Street, Instruction: Turn right onto Olivet Street, Distance: 243.7 meters, Time: 175.4 seconds
Name: -, Instruction: Turn left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn slight left, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
