Name: London Road, A237, Instruction: Head northwest on London Road, A237, Distance: 60.7 meters, Time: 43.7 seconds
Name: Medland Close, Instruction: Turn left onto Medland Close, Distance: 209.9 meters, Time: 151.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 132.2 meters, Time: 95.2 seconds
Name: Orchard Avenue, Instruction: Turn sharp left onto Orchard Avenue, Distance: 202.9 meters, Time: 146.1 seconds
Name: -, Instruction: Turn left, Distance: 239.3 meters, Time: 172.3 seconds
Name: -, Instruction: Turn slight left, Distance: 132.3 meters, Time: 95.3 seconds
Name: McRae Lane, Instruction: Turn right onto McRae Lane, Distance: 83.9 meters, Time: 60.4 seconds
Name: Budge Lane, Instruction: Turn right onto Budge Lane, Distance: 144.6 meters, Time: 104.1 seconds
Name: Middleton Road, Instruction: Turn left onto Middleton Road, Distance: 288.9 meters, Time: 208.0 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: Peterborough Road, Instruction: Turn left onto Peterborough Road, Distance: 389.0 meters, Time: 280.0 seconds
Name: Bisham Close, Instruction: Turn left onto Bisham Close, Distance: 31.0 meters, Time: 22.3 seconds
Name: Bisham Close, Instruction: Turn left onto Bisham Close, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
