Name: Bonteheuwel, Instruction: Head northwest on Bonteheuwel, Distance: 171.6 meters, Time: 123.5 seconds
Name: Links Drive, Instruction: Turn right onto Links Drive, Distance: 177.9 meters, Time: 128.1 seconds
Name: -, Instruction: Turn left, Distance: 209.7 meters, Time: 151.0 seconds
Name: -, Instruction: Keep left, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Keep left, Distance: 95.5 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: Alices Ride, Instruction: Turn sharp right onto Alices Ride, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 128.6 meters, Time: 92.6 seconds
Name: Saint Stephens Road, Instruction: Turn right onto Saint Stephens Road, Distance: 63.9 meters, Time: 46.0 seconds
Name: Saint Stephens Road, Instruction: Keep left onto Saint Stephens Road, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
