Name: شارع وسط المساكن, Instruction: Head south on شارع وسط المساكن, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 77.9 meters, Time: 56.1 seconds
Name: شارع محمد الحسيني عسوي, Instruction: Turn left onto شارع محمد الحسيني عسوي, Distance: 30.2 meters, Time: 21.7 seconds
Name: شارع عثمان باشا, Instruction: Turn slight left onto شارع عثمان باشا, Distance: 278.7 meters, Time: 200.7 seconds
Name: -, Instruction: Keep right, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: شارع 23, Instruction: Turn right onto شارع 23, Distance: 39.7 meters, Time: 28.6 seconds
Name: شارع 12, Instruction: Turn left onto شارع 12, Distance: 241.1 meters, Time: 173.6 seconds
Name: شارع رايل, Instruction: Turn right onto شارع رايل, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 240.2 meters, Time: 172.9 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
