Name: Juifenstraße, Instruction: Head north on Juifenstraße, Distance: 157.8 meters, Time: 113.6 seconds
Name: Treffauerstraße, Instruction: Turn left onto Treffauerstraße, Distance: 153.0 meters, Time: 110.2 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Treffauerstraße, Instruction: Turn left onto Treffauerstraße, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: Treffauerstraße, Instruction: Turn left onto Treffauerstraße, Distance: 181.4 meters, Time: 130.6 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Klaiser Weg, Instruction: Turn slight right onto Klaiser Weg, Distance: 66.5 meters, Time: 47.9 seconds
Name: Klaiser Weg, Instruction: Keep left onto Klaiser Weg, Distance: 12.4 meters, Time: 8.9 seconds
Name: Reulandstraße, Instruction: Turn slight right onto Reulandstraße, Distance: 180.1 meters, Time: 129.7 seconds
Name: Preßburger Straße, Instruction: Turn slight left onto Preßburger Straße, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn slight left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Keep left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Keep right, Distance: 202.8 meters, Time: 146.0 seconds
Name: -, Instruction: Keep right, Distance: 143.8 meters, Time: 103.6 seconds
Name: -, Instruction: Keep left, Distance: 181.9 meters, Time: 131.0 seconds
Name: -, Instruction: Keep left, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn right, Distance: 111.3 meters, Time: 80.1 seconds
Name: -, Instruction: Keep left, Distance: 31.1 meters, Time: 22.4 seconds
Name: Stegener Weg, Instruction: Turn left onto Stegener Weg, Distance: 109.3 meters, Time: 78.7 seconds
Name: Hechenwanger Weg, Instruction: Turn right onto Hechenwanger Weg, Distance: 94.6 meters, Time: 68.1 seconds
Name: Käthe-Bauer-Weg, Instruction: Turn slight right onto Käthe-Bauer-Weg, Distance: 31.0 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: Leibnizstraße, Instruction: Turn left onto Leibnizstraße, Distance: 3.5 meters, Time: 2.5 seconds
Name: Berchemstraße, Instruction: Turn right onto Berchemstraße, Distance: 226.8 meters, Time: 163.3 seconds
Name: -, Instruction: Arrive at Berchemstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
