Name: Bay Street, Instruction: Head east on Bay Street, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Arlington Street, Instruction: Turn left onto Arlington Street, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Longview Street, Instruction: Turn right onto Longview Street, Distance: 92.9 meters, Time: 66.9 seconds
Name: Great North Road, Instruction: Turn left onto Great North Road, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Keep right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 149.3 meters, Time: 107.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 10.6 meters, Time: 7.6 seconds
Name: Fairlight Street, Instruction: Turn left onto Fairlight Street, Distance: 141.0 meters, Time: 101.5 seconds
Name: -, Instruction: Arrive at Fairlight Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
