Name: St Vincents Road, Instruction: Head northeast on St Vincents Road, Distance: 275.4 meters, Time: 198.3 seconds
Name: -, Instruction: Turn right, Distance: 254.8 meters, Time: 183.5 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 83.2 meters, Time: 59.9 seconds
Name: Anglo Lane, Instruction: Turn left onto Anglo Lane, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Turn right, Distance: 589.7 meters, Time: 424.6 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.3 seconds
Name: Atchison Street, Instruction: Turn right onto Atchison Street, Distance: 676.9 meters, Time: 487.4 seconds
Name: Alexander Street, Instruction: Turn left onto Alexander Street, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
