Name: Burghausener Straße, Instruction: Head south on Burghausener Straße, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 104.0 meters, Time: 74.9 seconds
Name: Sedlmayrstraße, Instruction: Turn right onto Sedlmayrstraße, Distance: 10.1 meters, Time: 7.3 seconds
Name: Richelstraße, Instruction: Turn left onto Richelstraße, Distance: 268.3 meters, Time: 193.2 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Keep left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: Donnersbergerbrücke, Instruction: Turn right onto Donnersbergerbrücke, Distance: 531.8 meters, Time: 382.9 seconds
Name: Landsberger Straße, Instruction: Turn right onto Landsberger Straße, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.5 seconds
Name: Landsberger Straße, Instruction: Turn slight left onto Landsberger Straße, Distance: 4.3 meters, Time: 3.1 seconds
Name: Trappentreustraße, Instruction: Turn right onto Trappentreustraße, Distance: 697.3 meters, Time: 502.0 seconds
Name: Ridlerstraße, Instruction: Turn slight right onto Ridlerstraße, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 286.6 meters, Time: 206.3 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
