Name: Leyton Road, Instruction: Head northwest on Leyton Road, Distance: 212.3 meters, Time: 152.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Temple Mills Lane, Instruction: Turn left onto Temple Mills Lane, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Temple Mills Lane, Instruction: Turn left onto Temple Mills Lane, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Continue straight, Distance: 83.0 meters, Time: 59.8 seconds
Name: Temple Mills Lane, Instruction: Turn slight right onto Temple Mills Lane, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Keep right, Distance: 8.0 meters, Time: 5.8 seconds
Name: Temple Mills Lane, Instruction: Continue straight onto Temple Mills Lane, Distance: 256.9 meters, Time: 184.9 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Temple Mills Lane, Instruction: Turn right onto Temple Mills Lane, Distance: 461.1 meters, Time: 332.0 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 62.8 meters, Time: 45.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
