Name: Wapenplyn Close, Instruction: Head northwest on Wapenplyn Close, Distance: 57.8 meters, Time: 41.6 seconds
Name: Wapenplyn Way, Instruction: Turn right onto Wapenplyn Way, Distance: 108.5 meters, Time: 78.1 seconds
Name: Goedehoop Street, Instruction: Turn right onto Goedehoop Street, Distance: 100.1 meters, Time: 72.1 seconds
Name: Adam Tas Avenue, Instruction: Turn left onto Adam Tas Avenue, Distance: 138.4 meters, Time: 99.7 seconds
Name: Buren Street, Instruction: Turn right onto Buren Street, Distance: 144.9 meters, Time: 104.3 seconds
Name: Nassau Street, Instruction: Turn left onto Nassau Street, Distance: 412.4 meters, Time: 297.0 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 78.6 meters, Time: 56.6 seconds
Name: Oranje Street, Instruction: Turn left onto Oranje Street, Distance: 85.8 meters, Time: 61.8 seconds
Name: Oranje Street, Instruction: Continue straight onto Oranje Street, Distance: 16.1 meters, Time: 11.6 seconds
Name: Vryburger Avenue, Instruction: Turn right onto Vryburger Avenue, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: Vryburger Avenue, Instruction: Turn left onto Vryburger Avenue, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.4 seconds
Name: Bothma Street, Instruction: Turn left onto Bothma Street, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 115.1 meters, Time: 82.9 seconds
Name: Ross Street, Instruction: Turn left onto Ross Street, Distance: 126.1 meters, Time: 90.8 seconds
Name: Ganci Close, Instruction: Turn left onto Ganci Close, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Arrive at Ganci Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
