Name: Kronstadter Straße, Instruction: Head north on Kronstadter Straße, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Keep left, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn slight left, Distance: 124.6 meters, Time: 89.7 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Keep right, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 158.1 meters, Time: 113.8 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: Ruth-Schaumann-Straße, Instruction: Turn left onto Ruth-Schaumann-Straße, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Keep left, Distance: 38.7 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Keep right, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn slight right, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn slight right, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Daglfinger Straße, Instruction: Turn left onto Daglfinger Straße, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn slight right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
