Name: Rudolf-Vogel-Bogen, Instruction: Head southeast on Rudolf-Vogel-Bogen, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 241.1 meters, Time: 173.6 seconds
Name: Schindlerplatz, Instruction: Turn right onto Schindlerplatz, Distance: 103.7 meters, Time: 74.7 seconds
Name: Schindlerplatz, Instruction: Turn right onto Schindlerplatz, Distance: 276.0 meters, Time: 198.7 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.0 seconds
Name: Niemöllerallee, Instruction: Turn right onto Niemöllerallee, Distance: 82.8 meters, Time: 59.6 seconds
Name: Lanzenstielweg, Instruction: Turn left onto Lanzenstielweg, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn left, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: Anton-Weiß-Weg, Instruction: Turn right onto Anton-Weiß-Weg, Distance: 49.2 meters, Time: 35.5 seconds
Name: -, Instruction: Arrive at Anton-Weiß-Weg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
