Name: Kenning Street, Instruction: Head southwest on Kenning Street, Distance: 14.8 meters, Time: 10.7 seconds
Name: Railway Avenue, Instruction: Turn left onto Railway Avenue, Distance: 60.5 meters, Time: 43.6 seconds
Name: Brunel Road, B205, Instruction: Turn right onto Brunel Road, B205, Distance: 209.0 meters, Time: 150.5 seconds
Name: Rupack Street, Instruction: Turn right onto Rupack Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 167.7 meters, Time: 120.7 seconds
Name: Jamaica Road, Instruction: Turn slight left onto Jamaica Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 42.1 meters, Time: 30.3 seconds
Name: Jamaica Road, Instruction: Turn left onto Jamaica Road, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 202.7 meters, Time: 145.9 seconds
Name: -, Instruction: Keep right, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 57.9 seconds
Name: Southwark Park Road, Instruction: Turn right onto Southwark Park Road, Distance: 14.0 meters, Time: 10.1 seconds
Name: Banyard Road, Instruction: Turn left onto Banyard Road, Distance: 79.2 meters, Time: 57.1 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
